category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter
VU;3952;Podiceps auritus;horndykker;Fugler;Hans Noordman;24.06.2024 00:00:00;;91.0;Andøy;Nordland;1;69,308531;16,094037;POINT (543139 7689151);species;;http://www.gbif.org/occurrence/4978612455;;No;Yes;No;No;No;No;No;No
LC;3765;Limosa lapponica;lappspove;Fugler;Tore Hals;14.05.2005 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;stationary;Activity: Resting.;;Yes;No;No;No;No;No;No;No
EN;3488;Aythya marila;bergand;Fugler;Tore Hals;18.05.2005 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat.;;No;Yes;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;User 861590;10.07.2024 00:00:00;Andenes;4.0;Andøy;Nordland;5;69,308633;16,093736;POINT (543127 7689162);species;;http://www.gbif.org/occurrence/5006397734;;No;Yes;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;1129633969;17.07.2019 00:00:00;Andenes Stadtgebiet, Hafen und Airport;25.0;Andøy;Nordland;1;69,308228;16,104137;POINT (543538 7689124);species;;http://www.gbif.org/occurrence/5013308510;;No;No;No;No;No;No;No;No
LC;4164;Corvus cornix;kråke;Fugler;obsr1462336;22.08.2021 00:00:00;Kleivvatnet - Andenes;;Andøy;Nordland;3;69,30901;16,096539;POINT (543237 7689206);species;;http://www.gbif.org/occurrence/3655798117;;No;No;No;No;No;No;No;No
VU;204586;Spatula clypeata;skjeand;Fugler;obsr810318;31.07.2023 00:00:00;Andenes Marshlands;;Andøy;Nordland;2;69,27309;16,090551;POINT (543072 7685197);species;;http://www.gbif.org/occurrence/4666774429;;No;Yes;No;No;No;No;No;No
LC;4348;Ficedula hypoleuca;svarthvit fluesnapper;Fugler;obsr1583418;11.08.2023 00:00:00;Kleivvatnet;;Andøy;Nordland;1;69,3084;16,092579;POINT (543082 7689135);species;;http://www.gbif.org/occurrence/4785442754;;No;No;No;No;No;No;No;No
LC;4458;Phylloscopus collybita;gransanger;Fugler;obsr1462336;22.08.2021 00:00:00;Kjerringneset - Andenes;;Andøy;Nordland;1;69,31192;16,102266;POINT (543457 7689534);species;;http://www.gbif.org/occurrence/3554570643;;No;No;No;No;No;No;No;No
LC;4208;Emberiza schoeniclus;sivspurv;Fugler;obsr1125609;19.07.2023 00:00:00;Kleivvatnet, Andenes NO-18 (69.3067,16.0952);;Andøy;Nordland;1;69,306725;16,095192;POINT (543188 7688950);species;;http://www.gbif.org/occurrence/4733873904;;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;obsr1462336;22.08.2021 00:00:00;Kleivvatnet - Andenes;;Andøy;Nordland;2;69,30901;16,096539;POINT (543237 7689206);species;;http://www.gbif.org/occurrence/3639621122;;No;No;No;No;No;No;No;No
LC;4322;Anthus pratensis;heipiplerke;Fugler;obsr1462336;22.08.2021 00:00:00;Kjerringneset - Andenes;;Andøy;Nordland;1;69,31192;16,102266;POINT (543457 7689534);species;;http://www.gbif.org/occurrence/3606057816;;Yes;No;No;No;No;No;No;No
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;obsr1583418;11.08.2023 00:00:00;Kleivvatnet;;Andøy;Nordland;8;69,3084;16,092579;POINT (543082 7689135);species;;http://www.gbif.org/occurrence/4777736924;;No;No;No;No;No;No;No;No
LC;3926;Gavia stellata;smålom;Fugler;obsr108585;31.07.2020 00:00:00;Kleivvatnet;;Andøy;Nordland;1;69,30731;16,095446;POINT (543197 7689016);species;;http://www.gbif.org/occurrence/3193272264;;No;No;No;No;No;No;No;No
LC;4332;Motacilla alba;linerle;Fugler;obsr1125609;19.07.2023 00:00:00;Kleivvatnet, Andenes NO-18 (69.3067,16.0952);;Andøy;Nordland;1;69,306725;16,095192;POINT (543188 7688950);species;;http://www.gbif.org/occurrence/4688988199;;No;No;No;No;No;No;No;No
VU;185920;Chloris chloris;grønnfink;Fugler;obsr1462336;22.08.2021 00:00:00;Kleivvatnet - Andenes;;Andøy;Nordland;3;69,30901;16,096539;POINT (543237 7689206);species;;http://www.gbif.org/occurrence/3633764165;;No;Yes;No;No;No;No;No;No
LC;4332;Motacilla alba;linerle;Fugler;obsr1462336;22.08.2021 00:00:00;Kjerringneset - Andenes;;Andøy;Nordland;1;69,31192;16,102266;POINT (543457 7689534);species;;http://www.gbif.org/occurrence/3572967472;;No;No;No;No;No;No;No;No
LC;4344;Motacilla flava subsp. thunbergi;såerle;Fugler;Håvar Hveding|Johnny Bakken|Ole Petter Bergland;30.05.2004 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;1;69,296024;16,127517;POINT (544485 7687780);subspecies;;;male;No;No;No;No;No;No;No;No
LC;3926;Gavia stellata;smålom;Fugler;Håvar Hveding|Johnny Bakken|Ole Petter Bergland;30.05.2004 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;4;69,296024;16,127517;POINT (544485 7687780);species;;;;No;No;No;No;No;No;No;No
VU;3599;Alca torda;alke;Fugler;Håvar Hveding|Johnny Bakken|Ole Petter Bergland;30.05.2004 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;1;69,296024;16,127517;POINT (544485 7687780);species;;Antall ikke notert..;;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Knut Olsen|Tor Olsen;22.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;10;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: PairInSuitableHabitat. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Knut Olsen|Tor Olsen;22.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
NT;3799;Tringa totanus;rødstilk;Fugler;Knut Olsen|Tor Olsen;22.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: Mating.;in pair;No;No;No;No;No;No;Yes;No
CR;3671;Chroicocephalus ridibundus;hettemåke;Fugler;Knut Olsen|Tor Olsen;22.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;Yes;No;No;No;No;No;No
EN;3705;Rissa tridactyla;krykkje;Fugler;Knut Olsen|Tor Olsen;23.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;moving;Activity: FlyingBy.;;No;Yes;No;No;No;No;No;No
NT;3646;Pluvialis apricaria;heilo;Fugler;Knut Olsen|Tor Olsen;23.05.2015 00:00:00;Steinsvatnan, Andenes, Andøy, No;5.0;Andøy;Nordland;1;69,301114;16,082826;POINT (542712 7688316);species;possiblereproductive;Activity: Display/Song.;;Yes;No;No;No;No;No;Yes;No
LC;3525;Mergus serrator;siland;Fugler;Knut Olsen|Tor Olsen;23.05.2015 00:00:00;Steinsvatnan, Andenes, Andøy, No;5.0;Andøy;Nordland;2;69,301114;16,082826;POINT (542712 7688316);species;possiblereproductive;Activity: PairInSuitableHabitat. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
NT;3664;Haematopus ostralegus;tjeld;Fugler;Knut Olsen|Tor Olsen;23.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;No;No;No;No;No;Yes;No
LC;3887;Haliaeetus albicilla;havørn;Fugler;Knut Olsen|Tor Olsen;23.05.2015 00:00:00;Steinsvatnan, Andenes, Andøy, No;5.0;Andøy;Nordland;1;69,301114;16,082826;POINT (542712 7688316);species;stationary;Activity: Stationary.;;Yes;No;No;No;No;No;No;No
VU;3681;Larus canus;fiskemåke;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;10;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;male;No;No;No;No;No;No;No;No
NT;3799;Tringa totanus;rødstilk;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;2 lok Activity: InNestingHabitat.;;No;No;No;No;No;No;Yes;No
CR;3671;Chroicocephalus ridibundus;hettemåke;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;10;69,307254;16,095034;POINT (543181 7689009);species;stationary;ca Activity: Resting.;;No;Yes;No;No;No;No;No;No
VU;4096;Fulica atra;sothøne;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;stationary;Activity: Call.;;No;Yes;No;No;No;No;No;No
NT;3776;Numenius phaeopus;småspove;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat.;;No;No;No;No;No;No;Yes;No
NT;4397;Passer domesticus;gråspurv;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: Display/Song.;male;No;No;No;No;No;No;Yes;No
VU;185920;Chloris chloris;grønnfink;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat.;;No;Yes;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Stor-Løngvatnet, Stormyra, Andøy, No;5.0;Andøy;Nordland;2;69,283609;16,092672;POINT (543135 7686371);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
LC;183926;Luscinia svecica;blåstrupe;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Stormyrraet, Stormyra, Andøy, No;5.0;Andøy;Nordland;2;69,277059;16,105077;POINT (543638 7685650);species;possiblereproductive;Activity: Display/Song.;male;Yes;No;No;No;No;No;No;No
LC;4162;Corvus corax;ravn;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Stormyrraet, Stormyra, Andøy, No;5.0;Andøy;Nordland;2;69,277059;16,105077;POINT (543638 7685650);species;moving;Activity: FlyingBy.;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen;13.08.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;103;69,307254;16,095034;POINT (543181 7689009);species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3501;Bucephala clangula;kvinand;Fugler;Martin Eggen;13.08.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3910;Falco rusticolus;jaktfalk;Fugler;John Stenersen;28.01.2016 00:00:00;Andenes lufthavn, Andenes, Andøy, No;100.0;Andøy;Nordland;1;69,311079;16,123852;POINT (544310 7689456);species;moving;Activity: FlyingBy.;;Yes;Yes;No;No;No;No;No;No
VU;4280;Riparia riparia;sandsvale;Fugler;Raymond Birkelund|Thorbjørn Aakre;21.05.2016 00:00:00;Kleivvannet, Andøy, No;250.0;Andøy;Nordland;4;69,307368;16,094549;POINT (543162 7689021);species;;;;No;Yes;No;No;No;No;No;No
NT;4275;Delichon urbicum;taksvale;Fugler;Raymond Birkelund|Thorbjørn Aakre;21.05.2016 00:00:00;Kleivvannet, Andøy, No;250.0;Andøy;Nordland;4;69,307368;16,094549;POINT (543162 7689021);species;;;;No;No;No;No;No;No;Yes;No
LC;3487;Aythya fuligula;toppand;Fugler;Magnhild Johansen|Martin Eggen|Atle Ivar Olsen;21.05.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;30;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;No;No;No;No;No;No;No
VU;4280;Riparia riparia;sandsvale;Fugler;Oddvar Heggøy|Martin Eggen;23.05.2016 00:00:00;Fuglehullet, Andøya flystasjon, Andøy, No;200.0;Andøy;Nordland;6;69,280177;16,158428;POINT (545738 7686036);species;possiblereproductive;Activity: InNestingHabitat.;;No;Yes;No;No;No;No;No;No
LC;3794;Tringa nebularia;gluttsnipe;Fugler;Oddvar Heggøy|Martin Eggen;23.05.2016 00:00:00;Langneset, Andøy, No;200.0;Andøy;Nordland;1;69,28032;16,177014;POINT (546471 7686066);species;;;;No;No;No;No;No;No;No;No
CR;3767;Limosa limosa;svarthalespove;Fugler;Oddvar Heggøy|Martin Eggen;23.05.2016 00:00:00;Langneset, Andøy, No;200.0;Andøy;Nordland;1;69,28032;16,177014;POINT (546471 7686066);species;possiblereproductive;Activity: InNestingHabitat.;;No;Yes;No;No;No;No;No;No
EN;3773;Numenius arquata;storspove;Fugler;Oddvar Heggøy;23.05.2016 00:00:00;Andøya flystasjon N, Andøya flystasjon, Andøy, No;400.0;Andøy;Nordland;2;69,307997;16,113486;POINT (543907 7689105);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;Yes;No;No;No;No;No;No
NT;4275;Delichon urbicum;taksvale;Fugler;Oddvar Heggøy|Martin Eggen;23.05.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;No;No;No;No;No;Yes;No
VU;4280;Riparia riparia;sandsvale;Fugler;Jan Olav Nybo|Ole Vignes|Ken Adelsten Jensen|Jan Erik Haugen;15.06.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;20;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;Yes;No;No;No;No;No;No
LC;4277;Hirundo rustica;låvesvale;Fugler;Jan Olav Nybo|Ken Adelsten Jensen;15.06.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No
EN;3838;Sterna hirundo;makrellterne;Fugler;Jan Olav Nybo|Ole Vignes|Ken Adelsten Jensen|Jan Erik Haugen;15.06.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;8;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Rune  Botnermyr|Aurora Strand Botnermyr;05.07.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;100;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No
CR;3671;Chroicocephalus ridibundus;hettemåke;Fugler;Rune  Botnermyr|Aurora Strand Botnermyr;05.07.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;;;;No;Yes;No;No;No;No;No;No
NT;3646;Pluvialis apricaria;heilo;Fugler;Rune  Botnermyr|Aurora Strand Botnermyr;05.07.2016 00:00:00;Stormyra, Andøy, No;300.0;Andøy;Nordland;1;69,273734;16,099849;POINT (543438 7685275);species;;;;Yes;No;No;No;No;No;Yes;No
LC;3907;Falco peregrinus;vandrefalk;Fugler;Rune  Botnermyr|Aurora Strand Botnermyr;04.07.2016 00:00:00;Steinsvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,29985;16,079978;POINT (542602 7688173);species;stationary;Activity: Resting.;;No;No;Yes;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;John Stenersen;18.07.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;20;69,307254;16,095034;POINT (543181 7689009);species;;Fire forskjellige kull.;;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;John Stenersen;18.07.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung.;in pair;No;No;No;No;No;No;No;No
EN;3705;Rissa tridactyla;krykkje;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;5;69,307254;16,095034;POINT (543181 7689009);species;;;;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: CarryingFoodForYoung.;female;No;No;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;22;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No
LC;4322;Anthus pratensis;heipiplerke;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;;;;Yes;No;No;No;No;No;No;No
LC;4332;Motacilla alba;linerle;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;15;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No
VU;3681;Larus canus;fiskemåke;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;7;69,307254;16,095034;POINT (543181 7689009);species;;;;No;Yes;No;No;No;No;No;No
VU;4280;Riparia riparia;sandsvale;Fugler;Oddvar Heggøy|Martin Eggen;26.06.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;Yes;No;No;No;No;No;No
LC;3454;Anas crecca;krikkand;Fugler;Oddvar Heggøy|Martin Eggen;28.06.2016 00:00:00;Langneset, Andøy, No;200.0;Andøy;Nordland;10;69,28032;16,177014;POINT (546471 7686066);species;stationary;Activity: Resting.;;No;No;No;No;No;No;No;No
EN;3705;Rissa tridactyla;krykkje;Fugler;Oddvar Heggøy|Martin Eggen;30.05.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;stationary;Activity: Resting.;;No;Yes;No;No;No;No;No;No
CR;3671;Chroicocephalus ridibundus;hettemåke;Fugler;Oddvar Heggøy|Martin Eggen;30.05.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;;;;No;Yes;No;No;No;No;No;No
LC;4277;Hirundo rustica;låvesvale;Fugler;Oddvar Heggøy|Martin Eggen;30.05.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;5;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No
LC;4208;Emberiza schoeniclus;sivspurv;Fugler;Oddvar Heggøy|Martin Eggen;30.05.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat.;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen|Oddvar Heggøy;03.07.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen|Oddvar Heggøy;03.07.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;39;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Anette Jensen;29.05.2008 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;6;69,307254;16,095034;POINT (543181 7689009);species;stationary;Activity: Stationary.;in pair;No;No;No;No;No;No;No;No
LC;184055;Oenanthe oenanthe;steinskvett;Fugler;Roy Salomonsen;22.07.2017 00:00:00;Kleivvatnet nord, Kleivvatnet, Andøy, No;100.0;Andøy;Nordland;1;69,309228;16,096121;POINT (543220 7689230);species;;;;No;No;No;No;No;No;No;No
VU;3674;Hydrocoloeus minutus;dvergmåke;Fugler;Oddvar Heggøy|Martin Eggen;30.05.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;stationary;Activity: Resting. Validationstatus: Approved Report;;No;Yes;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Frantz Sortland;05.04.2018 00:00:00;Haugnes Andøya Flyplass, Andøy, No;5.0;Andøy;Nordland;6;69,286697;16,172514;POINT (546280 7686774);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Frantz Sortland;05.04.2018 00:00:00;Haugnes Andøya Flyplass, Andøy, No;5.0;Andøy;Nordland;1;69,286697;16,172514;POINT (546280 7686774);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;Renate Cadow;18.05.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: NestBuilding. Validationstatus: Approved Media;;No;Yes;No;No;No;No;No;No
CR;3671;Chroicocephalus ridibundus;hettemåke;Fugler;Oddvar Heggøy|Martin Eggen;14.06.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;5;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;4437;Acrocephalus schoenobaenus;sivsanger;Fugler;Oddvar Heggøy|Martin Eggen;14.06.2018 00:00:00;Fuglehullet, Andøya flystasjon, Andøy, No;200.0;Andøy;Nordland;1;69,280177;16,158428;POINT (545738 7686036);species;possiblereproductive;Activity: Display/Song. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;4208;Emberiza schoeniclus;sivspurv;Fugler;Oddvar Heggøy;14.06.2018 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;1;69,296024;16,127517;POINT (544485 7687780);species;possiblereproductive;Activity: Display/Song. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;Oddvar Heggøy;14.06.2018 00:00:00;Andøya flystasjon N, Andøya flystasjon, Andøy, No;400.0;Andøy;Nordland;3;69,307997;16,113486;POINT (543907 7689105);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;Martin Eggen;12.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3454;Anas crecca;krikkand;Fugler;Martin Eggen;12.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;14;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;Atle Ivar Olsen;24.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3487;Aythya fuligula;toppand;Fugler;Atle Ivar Olsen;24.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3810;Stercorarius longicaudus;fjelljo;Fugler;Kenneth Lunna;03.08.2018 00:00:00;Stormyra, Andøy, No;300.0;Andøy;Nordland;2;69,273734;16,099849;POINT (543438 7685275);species;moving;Activity: FlyingBy. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;185988;Spinus spinus;grønnsisik;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;4;69,30833;16,106119;POINT (543616 7689137);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;4252;Fringilla montifringilla;bjørkefink;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,297806;16,119423;POINT (544162 7687973);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
LC;3790;Tringa erythropus;sotsnipe;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,282071;16,175227;POINT (546397 7686260);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3887;Haliaeetus albicilla;havørn;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,300768;16,145259;POINT (545175 7688322);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
NT;3664;Haematopus ostralegus;tjeld;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;4;69,2998;16,158491;POINT (545699 7688224);species;;Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;Yes;No
